version,hilos,n_solicitado,frame,fase,update_ms,mobs_ms,build_ms,sombras_ms,cpu_ms,frame_ms,fps
paralelo,12,2000000,1,sostenido,1.09600,0.00010,2.31950,0.00020,3.41650,7.72320,129.480
paralelo,12,2000000,2,sostenido,1.42090,0.00010,2.49650,0.00020,3.91850,8.24160,121.336
paralelo,12,2000000,3,sostenido,1.04980,0.00020,2.38330,0.00010,3.43440,7.41980,134.775
paralelo,12,2000000,4,sostenido,1.52480,0.00020,3.51330,0.00020,5.03960,9.01280,110.953
paralelo,12,2000000,5,sostenido,1.44110,0.00030,2.18110,0.00010,3.62360,9.01870,110.881
paralelo,12,2000000,6,sostenido,4.17820,0.00050,6.07560,0.00020,10.25570,14.18290,70.507
paralelo,12,2000000,7,sostenido,2.23210,0.00030,5.67310,0.00030,7.90700,12.16030,82.235
paralelo,12,2000000,8,sostenido,1.41320,0.00020,3.94500,0.00020,5.36010,10.01040,99.896
paralelo,12,2000000,9,sostenido,1.39140,0.00040,2.45080,0.00010,3.84360,7.81890,127.895
paralelo,12,2000000,10,sostenido,1.40460,0.00020,3.48070,0.00020,4.88670,8.73180,114.524
paralelo,12,2000000,11,sostenido,1.11150,0.00030,2.23740,0.00010,3.35030,7.15350,139.792
paralelo,12,2000000,12,sostenido,1.08390,0.00020,2.61960,0.00020,3.70490,7.72830,129.395
paralelo,12,2000000,13,sostenido,1.02630,0.00020,2.38100,0.00020,3.40860,7.14780,139.903
paralelo,12,2000000,14,sostenido,1.10980,0.00040,2.35560,0.00020,3.46690,7.69800,129.904
paralelo,12,2000000,15,sostenido,1.04070,0.00030,2.40870,0.00010,3.45070,7.18040,139.268
paralelo,12,2000000,16,sostenido,1.51900,0.00040,3.72360,0.00020,5.24410,10.22670,97.783
paralelo,12,2000000,17,sostenido,2.19500,0.00040,7.27180,0.00030,9.46880,13.39980,74.628
paralelo,12,2000000,18,sostenido,2.04170,0.00030,4.63530,0.00020,6.67850,10.71540,93.324
paralelo,12,2000000,19,sostenido,2.06140,0.00020,5.27150,0.00020,7.33470,11.56750,86.449
paralelo,12,2000000,20,sostenido,1.35700,0.00030,3.15160,0.00010,4.51030,8.38980,119.192
paralelo,12,2000000,21,sostenido,1.35830,0.00020,3.28380,0.00030,4.64340,8.91080,112.223
paralelo,12,2000000,22,sostenido,1.36020,0.00020,2.97940,0.00020,4.34110,8.10590,123.367
paralelo,12,2000000,23,sostenido,1.43590,0.00020,3.37210,0.00010,4.80950,9.08610,110.058
paralelo,12,2000000,24,sostenido,1.78690,0.00030,4.33790,0.00030,6.12650,10.62280,94.137
paralelo,12,2000000,25,sostenido,2.38670,0.00030,4.07160,0.00010,6.45970,10.60010,94.339
paralelo,12,2000000,26,sostenido,1.35070,0.00030,3.23130,0.00010,4.58400,9.00710,111.024
paralelo,12,2000000,27,sostenido,1.39070,0.00030,3.14990,0.00010,4.54220,8.34830,119.785
paralelo,12,2000000,28,sostenido,1.39690,0.00030,3.87340,0.00040,5.27250,9.76730,102.382
paralelo,12,2000000,29,sostenido,2.21060,0.00020,3.37690,0.00020,5.58900,9.44540,105.872
paralelo,12,2000000,30,sostenido,1.71070,0.00020,3.47590,0.00020,5.18810,9.31070,107.403
paralelo,12,2000000,31,sostenido,1.37570,0.00020,3.57370,0.00010,4.95080,8.68790,115.103
paralelo,12,2000000,32,sostenido,1.47220,0.00030,3.25850,0.00020,4.73220,8.68950,115.081
paralelo,12,2000000,33,sostenido,1.31150,0.00030,3.62530,0.00020,4.93840,9.79710,102.071
paralelo,12,2000000,34,sostenido,1.34330,0.00020,3.06680,0.00010,4.41130,8.20570,121.867
paralelo,12,2000000,35,sostenido,1.43600,0.00020,3.13070,0.00020,4.56820,9.85150,101.507
paralelo,12,2000000,36,sostenido,1.57060,0.00020,2.55910,0.00020,4.13090,8.05170,124.197
paralelo,12,2000000,37,sostenido,1.16950,0.00040,2.38100,0.00020,3.55180,7.78150,128.510
paralelo,12,2000000,38,sostenido,1.05370,0.00020,2.51710,0.00010,3.57210,7.28380,137.291
paralelo,12,2000000,39,sostenido,1.13340,0.00020,2.19130,0.00010,3.32600,7.13380,140.178
