version,hilos,n_solicitado,frame,fase,update_ms,mobs_ms,build_ms,sombras_ms,cpu_ms,frame_ms,fps
secuencial,1,2000000,1,sostenido,5.36230,0.00070,18.15870,0.00030,23.52330,29.35890,34.061
secuencial,1,2000000,2,sostenido,4.10170,0.00020,11.50190,0.00010,15.60470,20.29690,49.269
secuencial,1,2000000,3,sostenido,3.85740,0.00050,14.91450,0.00020,18.77390,23.30760,42.904
secuencial,1,2000000,4,sostenido,4.01320,0.00060,14.10460,0.00020,18.11990,22.09560,45.258
secuencial,1,2000000,5,sostenido,3.84540,0.00030,9.71580,0.00020,13.56460,18.01600,55.506
secuencial,1,2000000,6,sostenido,5.03120,0.00030,10.56300,0.00010,15.59560,19.51670,51.238
secuencial,1,2000000,7,sostenido,3.23700,0.00040,8.67970,0.00020,11.91830,16.00030,62.499
secuencial,1,2000000,8,sostenido,3.17870,0.00020,9.07650,0.00010,12.25660,16.18520,61.785
secuencial,1,2000000,9,sostenido,3.33630,0.00040,11.68540,0.00020,15.02320,19.18200,52.132
secuencial,1,2000000,10,sostenido,3.48740,0.00030,9.40890,0.00010,12.89770,16.71940,59.811
secuencial,1,2000000,11,sostenido,3.83240,0.00040,8.71130,0.00010,12.54500,16.45270,60.780
secuencial,1,2000000,12,sostenido,3.31590,0.00040,8.88080,0.00010,12.19820,16.25680,61.513
secuencial,1,2000000,13,sostenido,3.25660,0.00040,8.70900,0.00000,11.96720,15.86260,63.041
secuencial,1,2000000,14,sostenido,3.47820,0.00030,8.61490,0.00000,12.09470,16.59980,60.242
secuencial,1,2000000,15,sostenido,3.26730,0.00030,8.64880,0.00010,11.91740,15.80100,63.287
secuencial,1,2000000,16,sostenido,3.75650,0.00040,8.47600,0.00010,12.23450,16.56630,60.364
secuencial,1,2000000,17,sostenido,3.59180,0.00020,8.52760,0.00010,12.12070,15.99210,62.531
secuencial,1,2000000,18,sostenido,3.56160,0.00030,9.73660,0.00010,13.29960,17.25470,57.955
secuencial,1,2000000,19,sostenido,4.84690,0.00030,10.36470,0.00020,15.21300,19.42180,51.489
secuencial,1,2000000,20,sostenido,3.52920,0.00030,9.41940,0.00020,12.95030,16.87870,59.246
secuencial,1,2000000,21,sostenido,3.41290,0.00040,8.57660,0.00010,11.99110,16.03660,62.357
secuencial,1,2000000,22,sostenido,3.98480,0.00040,8.45600,0.00010,12.44230,16.27980,61.426
secuencial,1,2000000,23,sostenido,3.15270,0.00020,8.30230,0.00010,11.45620,15.69980,63.695
secuencial,1,2000000,24,sostenido,3.14850,0.00020,8.27700,0.00000,11.42670,15.44880,64.730
secuencial,1,2000000,25,sostenido,3.55970,0.00040,8.52310,0.00010,12.08470,16.34360,61.186
secuencial,1,2000000,26,sostenido,4.44910,0.00050,9.45850,0.00010,13.90940,17.98140,55.613
secuencial,1,2000000,27,sostenido,3.26880,0.00030,9.11720,0.00010,12.38740,16.32080,61.272
secuencial,1,2000000,28,sostenido,3.19140,0.00040,8.95620,0.00010,12.14920,16.20400,61.713
secuencial,1,2000000,29,sostenido,3.19170,0.00020,8.91180,0.00010,12.10480,15.94190,62.728
secuencial,1,2000000,30,sostenido,3.34940,0.00040,8.83350,0.00020,12.18470,16.29510,61.368
secuencial,1,2000000,31,sostenido,3.13030,0.00040,8.40170,0.00010,11.53350,15.32860,65.238
secuencial,1,2000000,32,sostenido,3.32660,0.00030,12.20300,0.00010,15.53100,19.51700,51.237
secuencial,1,2000000,33,sostenido,3.41990,0.00020,8.42360,0.00020,11.84470,15.89940,62.895
secuencial,1,2000000,34,sostenido,3.14740,0.00050,10.25500,0.00020,13.40420,18.37750,54.414
secuencial,1,2000000,35,sostenido,3.31080,0.00040,8.33240,0.00010,11.64480,16.70090,59.877
secuencial,1,2000000,36,sostenido,3.20490,0.00030,9.84980,0.00000,13.05620,17.92640,55.784
secuencial,1,2000000,37,sostenido,3.36360,0.00030,8.47170,0.00020,11.83670,17.00070,58.821
secuencial,1,2000000,38,sostenido,3.19640,0.00020,9.11450,0.00030,12.31240,17.73760,56.377
secuencial,1,2000000,39,sostenido,5.18620,0.00030,9.29760,0.00020,14.48510,19.42420,51.482
secuencial,1,2000000,40,sostenido,3.25490,0.00030,8.62530,0.00010,11.88160,16.86340,59.300
secuencial,1,2000000,41,sostenido,3.76270,0.00040,8.49870,0.00010,12.26280,17.71720,56.442
secuencial,1,2000000,42,sostenido,4.04010,0.00030,8.39480,0.00010,12.43620,17.92530,55.787
secuencial,1,2000000,43,sostenido,6.12670,0.00040,17.70950,0.00020,23.83790,28.87900,34.627
secuencial,1,2000000,44,sostenido,5.68620,0.00040,12.20550,0.00030,17.89360,23.42120,42.696
secuencial,1,2000000,45,sostenido,4.25110,0.00050,8.46660,0.00020,12.71940,17.71910,56.436
secuencial,1,2000000,46,sostenido,3.15800,0.00020,9.06600,0.00020,12.22570,17.77710,56.252
