version,hilos,n_solicitado,repeticion,bloques_generados,bloques_dibujados_prom,frames_medidos,fase_predominante,gen_ms_prom,update_ms_prom,build_ms_prom,cpu_ms_prom,cpu_ms_desv,frame_ms_prom,frame_ms_p95,fps_prom,fps_min,frames_bajo_60fps
secuencial,1,100000,1,95874,18473.0,300,sostenido,5.6262,0.0786,0.4163,0.4954,0.0961,0.8773,1.1999,1139.9016,547.2555,0
secuencial,1,100000,2,95874,18473.0,300,sostenido,6.2035,0.0802,0.4357,0.5165,0.1120,0.8960,1.1841,1116.1213,619.0800,0
secuencial,1,100000,3,95874,18473.0,300,sostenido,5.4735,0.0753,0.4250,0.5008,0.1023,0.8834,1.2599,1131.9525,621.8132,0
secuencial,1,100000,4,95874,18473.0,300,sostenido,5.6862,0.0858,0.4404,0.5268,0.1318,0.9288,1.4102,1076.6963,520.7791,0
secuencial,1,100000,5,95874,18473.0,300,sostenido,5.5557,0.0742,0.4192,0.4940,0.1014,0.8874,1.2223,1126.8956,498.3306,0
secuencial,1,100000,6,95874,18473.0,300,sostenido,5.6096,0.0731,0.4180,0.4916,0.0896,0.8818,1.2200,1134.0483,648.8030,0
secuencial,1,100000,7,95874,18473.0,300,sostenido,5.5829,0.0832,0.4527,0.5365,0.1569,0.9394,1.4300,1064.4908,532.0564,0
secuencial,1,100000,8,95874,18473.0,300,sostenido,5.6504,0.0792,0.4139,0.4937,0.0917,0.8856,1.1947,1129.1431,623.9471,0
secuencial,1,100000,9,95874,18473.0,300,sostenido,5.6223,0.0844,0.4438,0.5288,0.1198,0.9220,1.2903,1084.5607,574.2836,0
secuencial,1,100000,10,95874,18473.0,300,sostenido,5.3784,0.0754,0.4208,0.4967,0.0990,0.8868,1.2364,1127.6869,633.1117,0
paralelo,1,100000,1,95874,18473.0,300,sostenido,6.1037,0.1211,0.5150,0.6366,0.0880,1.0286,1.3536,972.1870,610.6870,0
paralelo,1,100000,2,95874,18473.0,300,sostenido,5.9344,0.1265,0.5226,0.6496,0.0874,1.0492,1.3450,953.1495,546.5676,0
paralelo,1,100000,3,95874,18473.0,300,sostenido,6.2486,0.1185,0.5109,0.6300,0.0731,1.0190,1.2776,981.3199,619.8475,0
paralelo,1,100000,4,95874,18473.0,300,sostenido,6.2796,0.1230,0.5140,0.6375,0.1173,1.0335,1.4237,967.6321,486.4050,0
paralelo,1,100000,5,95874,18473.0,300,sostenido,6.1198,0.1264,0.5451,0.6721,0.1420,1.0726,1.4745,932.3079,459.0525,0
paralelo,1,100000,6,95874,18473.0,300,sostenido,5.9376,0.1223,0.5096,0.6324,0.0895,1.0344,1.3621,966.7904,515.4905,0
paralelo,1,100000,7,95874,18473.0,300,sostenido,5.9856,0.1184,0.5115,0.6304,0.0912,1.0299,1.3077,970.9875,472.4335,0
paralelo,1,100000,8,95874,18473.0,300,sostenido,5.9490,0.1201,0.5146,0.6352,0.0908,1.0324,1.3619,968.6615,511.9541,0
paralelo,1,100000,9,95874,18473.0,300,sostenido,5.8258,0.1231,0.5250,0.6487,0.1033,1.0533,1.3671,949.3728,379.0751,0
paralelo,1,100000,10,95874,18473.0,300,sostenido,5.9163,0.1270,0.5289,0.6564,0.1057,1.0605,1.4247,942.9073,552.9750,0
paralelo,2,100000,1,95874,18473.0,300,sostenido,3.8300,0.0898,0.3256,0.4160,0.0784,0.8151,1.1309,1226.8800,634.5580,0
paralelo,2,100000,2,95874,18473.0,300,sostenido,3.7974,0.0963,0.3373,0.4340,0.0731,0.8146,1.0561,1227.5903,712.8092,0
paralelo,2,100000,3,95874,18473.0,300,sostenido,3.7674,0.0917,0.3359,0.4282,0.0786,0.8056,1.1046,1241.3006,627.1952,0
paralelo,2,100000,4,95874,18473.0,300,sostenido,4.3222,0.0860,0.3228,0.4094,0.0627,0.7995,1.0104,1250.8135,744.2137,0
paralelo,2,100000,5,95874,18473.0,300,sostenido,4.0653,0.0951,0.3480,0.4437,0.0984,0.8583,1.2118,1165.0875,538.4450,0
paralelo,2,100000,6,95874,18473.0,300,sostenido,3.9224,0.0922,0.3306,0.4233,0.0656,0.8254,1.0914,1211.5044,678.8405,0
paralelo,2,100000,7,95874,18473.0,300,sostenido,4.0795,0.1015,0.3553,0.4574,0.0806,0.8758,1.1891,1141.7763,634.4373,0
paralelo,2,100000,8,95874,18473.0,300,sostenido,4.5282,0.0893,0.3380,0.4277,0.0865,0.8229,1.0528,1215.2765,498.1320,0
paralelo,2,100000,9,95874,18473.0,300,sostenido,3.8265,0.0903,0.3356,0.4264,0.0819,0.8244,1.0459,1213.0524,485.4840,0
paralelo,2,100000,10,95874,18473.0,300,sostenido,4.0911,0.0981,0.3575,0.4561,0.0834,0.8690,1.1369,1150.8005,553.0362,0
paralelo,4,100000,1,95874,18473.0,300,sostenido,2.8452,0.0827,0.3002,0.3835,0.0614,0.7815,1.0245,1279.5109,659.6306,0
paralelo,4,100000,2,95874,18473.0,300,sostenido,2.4915,0.0823,0.3067,0.3895,0.0425,0.7728,0.9540,1294.0115,773.2158,0
paralelo,4,100000,3,95874,18473.0,300,sostenido,2.8074,0.0847,0.3111,0.3964,0.0454,0.7863,0.9659,1271.7943,800.7046,0
paralelo,4,100000,4,95874,18473.0,300,sostenido,3.0348,0.0854,0.2893,0.3753,0.0793,0.7825,1.0953,1278.0190,719.2175,0
paralelo,4,100000,5,95874,18473.0,300,sostenido,2.6363,0.0904,0.2880,0.3793,0.0852,0.8123,1.0665,1231.0475,709.1193,0
paralelo,4,100000,6,95874,18473.0,300,sostenido,4.1074,0.0813,0.2917,0.3736,0.0730,0.7794,1.0149,1283.1167,732.9766,0
paralelo,4,100000,7,95874,18473.0,300,sostenido,2.8006,0.0811,0.3013,0.3830,0.0428,0.7670,0.9687,1303.7237,777.5445,0
paralelo,4,100000,8,95874,18473.0,300,sostenido,2.7402,0.0769,0.2681,0.3456,0.0645,0.7362,0.9190,1358.3770,732.5471,0
paralelo,4,100000,9,95874,18473.0,300,sostenido,2.7231,0.0809,0.2626,0.3441,0.0671,0.7414,0.9854,1348.8845,812.3477,0
paralelo,4,100000,10,95874,18473.0,300,sostenido,2.7380,0.0833,0.2852,0.3691,0.0813,0.7685,1.0188,1301.1938,750.3564,0
paralelo,8,100000,1,95874,18473.0,300,sostenido,2.2183,0.0748,0.2712,0.3466,0.0414,0.7404,0.9015,1350.7046,950.9319,0
paralelo,8,100000,2,95874,18473.0,300,sostenido,2.1400,0.0754,0.2774,0.3533,0.0385,0.7424,0.9082,1347.0257,848.2484,0
paralelo,8,100000,3,95874,18473.0,300,sostenido,2.2988,0.0733,0.2820,0.3559,0.0609,0.7418,0.9397,1348.0141,723.0658,0
paralelo,8,100000,4,95874,18473.0,300,sostenido,2.1662,0.0755,0.2783,0.3544,0.1017,0.7567,1.0018,1321.4479,487.2819,0
paralelo,8,100000,5,95874,18473.0,300,sostenido,2.2157,0.0762,0.2822,0.3590,0.0834,0.7604,1.0023,1315.1088,522.0024,0
paralelo,8,100000,6,95874,18473.0,300,sostenido,2.0955,0.0766,0.2767,0.3539,0.0609,0.7547,0.9459,1325.0772,663.6581,0
paralelo,8,100000,7,95874,18473.0,300,sostenido,2.2045,0.0732,0.2740,0.3477,0.0438,0.7432,0.9815,1345.5220,822.8421,0
paralelo,8,100000,8,95874,18473.0,300,sostenido,2.3135,0.1058,0.3405,0.4472,0.2246,0.8943,1.2860,1118.2168,216.5674,0
paralelo,8,100000,9,95874,18473.0,300,sostenido,2.3190,0.0754,0.2748,0.3508,0.0648,0.7423,0.9140,1347.1128,691.8021,0
paralelo,8,100000,10,95874,18473.0,300,sostenido,2.1524,0.0725,0.2693,0.3425,0.0398,0.7477,0.9418,1337.3633,873.1337,0
paralelo,12,100000,1,95874,18473.0,300,sostenido,2.2141,0.0855,0.3477,0.4338,0.0747,0.8523,1.0923,1173.3435,578.3356,0
paralelo,12,100000,2,95874,18473.0,300,sostenido,2.1568,0.0792,0.3154,0.3953,0.0704,0.8101,1.0735,1234.4216,780.8840,0
paralelo,12,100000,3,95874,18473.0,300,sostenido,2.1396,0.0776,0.3121,0.3903,0.0544,0.7983,0.9917,1252.6525,663.4379,0
paralelo,12,100000,4,95874,18473.0,300,sostenido,2.2204,0.0750,0.3110,0.3866,0.0544,0.7805,0.9780,1281.1769,597.4786,0
paralelo,12,100000,5,95874,18473.0,300,sostenido,2.2653,0.0782,0.3176,0.3964,0.0576,0.7951,1.0208,1257.6739,740.1377,0
paralelo,12,100000,6,95874,18473.0,300,sostenido,2.2184,0.0755,0.3106,0.3867,0.0463,0.7758,0.9456,1288.9156,839.2078,0
paralelo,12,100000,7,95874,18473.0,300,sostenido,2.3125,0.0763,0.3164,0.3933,0.0437,0.7880,1.0049,1269.0312,769.4675,0
paralelo,12,100000,8,95874,18473.0,300,sostenido,2.1443,0.0830,0.3278,0.4114,0.0587,0.8251,1.1084,1212.0159,636.3347,0
paralelo,12,100000,9,95874,18473.0,300,sostenido,2.1938,0.0771,0.3243,0.4020,0.0451,0.7941,0.9849,1259.3607,794.3443,0
paralelo,12,100000,10,95874,18473.0,300,sostenido,2.1429,0.0911,0.3647,0.4565,0.0889,0.8926,1.2329,1120.3511,413.9073,0
secuencial,1,500000,1,482184,81660.0,300,sostenido,26.8136,0.8063,2.2252,3.0330,0.3661,4.3713,5.2442,228.7641,148.8228,0
secuencial,1,500000,2,482184,81660.0,300,sostenido,26.7310,0.7892,2.2609,3.0514,0.4615,4.3862,5.4495,227.9862,142.4278,0
secuencial,1,500000,3,482184,81660.0,300,sostenido,26.9222,0.7778,2.1925,2.9717,0.4977,4.3019,5.1231,232.4552,96.8739,0
secuencial,1,500000,4,482184,81660.0,300,sostenido,26.5550,0.8068,2.2387,3.0469,0.4543,4.3829,5.4393,228.1582,144.7157,0
secuencial,1,500000,5,482184,81660.0,300,sostenido,27.0200,0.7877,2.1949,2.9839,0.3584,4.3091,5.0310,232.0691,145.3319,0
secuencial,1,500000,6,482184,81660.0,300,sostenido,26.1945,0.7747,2.1814,2.9576,0.3619,4.2837,5.0837,233.4416,141.2030,0
secuencial,1,500000,7,482184,81660.0,300,sostenido,26.7305,0.7727,2.1550,2.9291,0.4003,4.2603,5.0176,234.7255,113.5112,0
secuencial,1,500000,8,482184,81660.0,300,sostenido,25.6368,0.8010,2.2456,3.0480,0.4883,4.3875,5.5855,227.9216,142.0979,0
secuencial,1,500000,9,482184,81660.0,300,sostenido,27.0853,0.7773,2.1829,2.9616,0.3728,4.2829,5.1389,233.4853,153.1065,0
secuencial,1,500000,10,482184,81660.0,300,sostenido,26.1570,0.7624,2.1960,2.9598,0.3701,4.2936,5.1441,232.9062,155.5549,0
paralelo,1,500000,1,482184,81660.0,300,sostenido,28.5597,0.9072,2.6822,3.5908,0.4799,4.9352,5.7885,202.6276,94.0982,0
paralelo,1,500000,2,482184,81660.0,300,sostenido,28.7721,0.9313,2.7403,3.6732,0.4108,5.0405,5.9151,198.3938,131.6898,0
paralelo,1,500000,3,482184,81660.0,300,sostenido,29.1975,0.9275,2.7800,3.7089,0.5119,5.0683,6.1280,197.3045,124.7054,0
paralelo,1,500000,4,482184,81660.0,300,sostenido,29.7149,0.8808,2.6514,3.5336,0.3498,4.8497,5.5559,206.1966,138.3336,0
paralelo,1,500000,5,482184,81660.0,300,sostenido,29.0875,0.9246,2.7773,3.7033,0.4500,5.0418,6.0716,198.3432,132.3592,0
