n_solicitado,bloques_generados,hilos,cpu_secuencial_ms,cpu_paralelo_ms,cpu_paralelo_desv_ms,speedup_cpu,eficiencia_pct,gen_secuencial_ms,gen_paralelo_ms,speedup_generacion,frame_secuencial_ms,frame_paralelo_ms,speedup_frame,fps_secuencial,fps_paralelo,update_secuencial_ms,update_paralelo_ms,build_secuencial_ms,build_paralelo_ms
100000,95874,1,0.5081,0.6429,0.0136,0.7903,79.03,5.6389,6.03,0.9351,0.8989,1.0413,0.8632,1113.15,960.53,0.0789,0.1226,0.4286,0.5197
100000,95874,2,0.5081,0.4322,0.0159,1.1755,58.78,5.6389,4.023,1.4017,0.8989,0.8311,1.0816,1113.15,1204.41,0.0789,0.093,0.4286,0.3387
100000,95874,4,0.5081,0.3739,0.0172,1.3587,33.97,5.6389,2.8925,1.9495,0.8989,0.7728,1.1631,1113.15,1294.97,0.0789,0.0829,0.4286,0.2904
100000,95874,8,0.5081,0.3611,0.0306,1.4069,17.59,5.6389,2.2124,2.5488,0.8989,0.7624,1.179,1113.15,1315.56,0.0789,0.0779,0.4286,0.2826
100000,95874,12,0.5081,0.4052,0.0229,1.2538,10.45,5.6389,2.2008,2.5622,0.8989,0.8112,1.1081,1113.15,1234.89,0.0789,0.0799,0.4286,0.3248
500000,482184,1,2.9943,3.6338,0.0529,0.824,82.4,26.5846,28.9962,0.9168,4.3259,4.9799,0.8687,231.19,200.84,0.7856,0.9111,2.2073,2.7213
500000,482184,2,2.9943,2.0276,0.0428,1.4768,73.84,26.5846,18.5123,1.4361,4.3259,3.3362,1.2966,231.19,299.8,0.7856,0.5186,2.2073,1.5077
500000,482184,4,2.9943,1.385,0.0478,2.162,54.05,26.5846,11.4442,2.323,4.3259,2.6959,1.6046,231.19,371.06,0.7856,0.3425,2.2073,1.0413
500000,482184,8,2.9943,1.1337,0.0551,2.6412,33.02,26.5846,8.161,3.2575,4.3259,2.4542,1.7627,231.19,407.74,0.7856,0.2442,2.2073,0.8882
500000,482184,12,2.9943,1.1905,0.0444,2.5151,20.96,26.5846,7.3038,3.6398,4.3259,2.5457,1.6993,231.19,393.02,0.7856,0.238,2.2073,0.9511
2000000,1918719,1,12.234,14.9579,0.0684,0.8179,81.79,104.0702,114.8009,0.9065,18.8109,23.1503,0.8126,53.16,43.2,3.4336,3.8157,8.7988,11.1407
2000000,1918719,2,12.234,8.4173,0.2075,1.4534,72.67,104.0702,73.0336,1.425,18.8109,13.1134,1.4345,53.16,76.29,3.4336,2.1948,8.7988,6.2211
2000000,1918719,4,12.234,5.983,0.4944,2.0448,51.12,104.0702,44.9441,2.3155,18.8109,10.1655,1.8505,53.16,98.66,3.4336,1.5749,8.7988,4.4067
2000000,1918719,8,12.234,4.4757,0.1098,2.7334,34.17,104.0702,31.6724,3.2858,18.8109,8.5724,2.1944,53.16,116.67,3.4336,1.2988,8.7988,3.1755
2000000,1918719,12,12.234,4.4835,0.3832,2.7287,22.74,104.0702,27.0479,3.8476,18.8109,8.5725,2.1943,53.16,116.91,3.4336,1.3235,8.7988,3.1585
