Equipo     : Intel64 Family 6 Model 151 Stepping 5, GenuineIntel | 12 hilos logicos
Pruebas    : N = [100000, 500000, 2000000] | hilos = [1, 2, 4, 8, 12] | 10 repeticiones de 300 fotogramas

[1/180] N=100000 secuencial 1 hilo(s), repeticion 1
[2/180] N=100000 secuencial 1 hilo(s), repeticion 2
[3/180] N=100000 secuencial 1 hilo(s), repeticion 3
[4/180] N=100000 secuencial 1 hilo(s), repeticion 4
[5/180] N=100000 secuencial 1 hilo(s), repeticion 5
[6/180] N=100000 secuencial 1 hilo(s), repeticion 6
[7/180] N=100000 secuencial 1 hilo(s), repeticion 7
[8/180] N=100000 secuencial 1 hilo(s), repeticion 8
[9/180] N=100000 secuencial 1 hilo(s), repeticion 9
[10/180] N=100000 secuencial 1 hilo(s), repeticion 10
[11/180] N=100000 paralelo 1 hilo(s), repeticion 1
[12/180] N=100000 paralelo 1 hilo(s), repeticion 2
[13/180] N=100000 paralelo 1 hilo(s), repeticion 3
[14/180] N=100000 paralelo 1 hilo(s), repeticion 4
[15/180] N=100000 paralelo 1 hilo(s), repeticion 5
[16/180] N=100000 paralelo 1 hilo(s), repeticion 6
[17/180] N=100000 paralelo 1 hilo(s), repeticion 7
[18/180] N=100000 paralelo 1 hilo(s), repeticion 8
[19/180] N=100000 paralelo 1 hilo(s), repeticion 9
[20/180] N=100000 paralelo 1 hilo(s), repeticion 10
[21/180] N=100000 paralelo 2 hilo(s), repeticion 1
[22/180] N=100000 paralelo 2 hilo(s), repeticion 2
[23/180] N=100000 paralelo 2 hilo(s), repeticion 3
[24/180] N=100000 paralelo 2 hilo(s), repeticion 4
[25/180] N=100000 paralelo 2 hilo(s), repeticion 5
[26/180] N=100000 paralelo 2 hilo(s), repeticion 6
[27/180] N=100000 paralelo 2 hilo(s), repeticion 7
[28/180] N=100000 paralelo 2 hilo(s), repeticion 8
[29/180] N=100000 paralelo 2 hilo(s), repeticion 9
[30/180] N=100000 paralelo 2 hilo(s), repeticion 10
[31/180] N=100000 paralelo 4 hilo(s), repeticion 1
[32/180] N=100000 paralelo 4 hilo(s), repeticion 2
[33/180] N=100000 paralelo 4 hilo(s), repeticion 3
[34/180] N=100000 paralelo 4 hilo(s), repeticion 4
[35/180] N=100000 paralelo 4 hilo(s), repeticion 5
[36/180] N=100000 paralelo 4 hilo(s), repeticion 6
[37/180] N=100000 paralelo 4 hilo(s), repeticion 7
[38/180] N=100000 paralelo 4 hilo(s), repeticion 8
[39/180] N=100000 paralelo 4 hilo(s), repeticion 9
[40/180] N=100000 paralelo 4 hilo(s), repeticion 10
[41/180] N=100000 paralelo 8 hilo(s), repeticion 1
[42/180] N=100000 paralelo 8 hilo(s), repeticion 2
[43/180] N=100000 paralelo 8 hilo(s), repeticion 3
[44/180] N=100000 paralelo 8 hilo(s), repeticion 4
[45/180] N=100000 paralelo 8 hilo(s), repeticion 5
[46/180] N=100000 paralelo 8 hilo(s), repeticion 6
[47/180] N=100000 paralelo 8 hilo(s), repeticion 7
[48/180] N=100000 paralelo 8 hilo(s), repeticion 8
[49/180] N=100000 paralelo 8 hilo(s), repeticion 9
[50/180] N=100000 paralelo 8 hilo(s), repeticion 10
[51/180] N=100000 paralelo 12 hilo(s), repeticion 1
[52/180] N=100000 paralelo 12 hilo(s), repeticion 2
[53/180] N=100000 paralelo 12 hilo(s), repeticion 3
[54/180] N=100000 paralelo 12 hilo(s), repeticion 4
[55/180] N=100000 paralelo 12 hilo(s), repeticion 5
[56/180] N=100000 paralelo 12 hilo(s), repeticion 6
[57/180] N=100000 paralelo 12 hilo(s), repeticion 7
[58/180] N=100000 paralelo 12 hilo(s), repeticion 8
[59/180] N=100000 paralelo 12 hilo(s), repeticion 9
[60/180] N=100000 paralelo 12 hilo(s), repeticion 10
[61/180] N=500000 secuencial 1 hilo(s), repeticion 1
